word,English,Português
level_complete,Level Complete!,Nível Completo!
back,Go Back,Voltar
next_level,Next Level,Próximo
retry,Retry,Recomeçar
play,Play,Jogar
options,Options,Opções
exit,Quit,Sair
easy_mode,Easy Mode,Modo Fácil
endless,Endless,Infinito
reset,"Reset\nProgress","Reiniciar\nProgresso"
language,Language,Idioma
are_you_sure,Are you sure you want to reset all your progress?,Tens a certeza que queres reiniciar todo o teu progresso?
yes,Yes,Sim
no,No,Não
sticker_warning,Maximum Stickers Placed,Não é possível colocar mais Autocolantes
place,Place,Colocar
zoom,Zoom,Aumentar